link_id,from_node_id,to_node_id,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,VOC,VOC_period,alpha,beta,peak_factor,period_cap,vol_valid,demand_est
101,2,3,1,1,0600_0900,5571.0,619.0,55.99166666666666,11.046737202791977,0.0,0.0,537.0,0.5206197586911562,1.1082934971988676,0.15,6.02,10.374301675977653,10700.707967760492,775.3339376499353,5571.0
102,3,4,1,1,0600_0900,6223.0,691.4444444444445,54.84722222222222,12.638628221663716,0.0,0.0,621.0,0.6020574863076499,1.1082934971988676,0.15,6.02,10.020933977455716,10336.22227366518,843.4546320309784,6223.0
103,4,5,1,1,0600_0900,5773.0,641.4444444444445,55.81111111111111,11.505607812611185,0.0,0.0,803.0,0.7785058961433862,1.1082934971988676,0.15,6.02,7.1892901618929015,7415.486547499085,964.7067276382178,5773.0
104,5,6,1,1,0600_0900,5933.0,659.2222222222222,57.85555555555556,11.428780667026718,0.0,0.0,815.0,0.7901398572314567,1.1082934971988676,0.15,6.02,7.279754601226994,7508.797266332609,971.0470741741228,5933.0
105,6,7,1,1,0600_0900,8175.0,908.3333333333334,45.77222222222222,20.052399723153833,9.0,35.0,6100.0,5.913930219769186,1.1082934971988676,0.15,6.02,1.3401639344262295,1382.3294655510936,14.528942512768168,8175.0
107,9,10,1,1,0600_0900,8631.0,959.0,48.413888888888884,20.03230916483774,31.0,35.0,1141.0,1.1061958001240395,1.1082934971988676,0.15,6.02,7.564417177914111,7802.416171741199,1012.9171153436054,8631.0
108,11,12,1,1,0600_0900,8756.0,972.8888888888889,42.34444444444444,23.254425030963276,7.0,35.0,7148.0,6.929962821460678,1.1082934971988676,0.15,6.02,1.2249580302182428,1263.498841997313,9.01574069753105,8755.999999999998
109,12,13,1,1,0600_0900,8087.0,898.5555555555555,47.705555555555556,19.00419831247414,16.0,22.0,1618.0,1.568645753374843,1.1082934971988676,0.15,6.02,4.99814585908529,5155.40234791783,656.543601928193,8087.0
101,2,3,1,1,0900_1400,9595.0,639.6666666666666,54.614999999999995,11.708103620646371,0.0,0.0,547.0,0.5303147262645482,0.9293946111657087,0.15,4.58,17.541133455210236,18093.02952528895,855.3888113865268,9594.999999999998
102,3,4,1,1,0900_1400,10910.0,727.3333333333334,51.57333333333333,14.11441321210302,0.0,0.0,796.0,0.7717194188420118,0.9293946111657087,0.15,4.58,13.706030150753769,14137.262499330112,986.6374702092277,10910.000000000002
